2,0,0
2.1149,0.031366,0.6
2.4008,0.23622,1.2
2.7032,0.72008,1.8
2.8275,1.4766,2.4
2.6109,2.3833,3
1.9838,3.2386,3.6
1.0002,3.8279,4.2
-0.1751,3.9949,4.8
-1.3163,3.6943,5.4
-2.2086,3.0073,6
-2.7157,2.1139,6.6
-2.8205,1.2327,7.2
-2.6246,0.54796,7.8
-2.3074,0.15037,8.4
-2.0588,0.011242,9
-2.0102,-0.00079565,9.6
-2.1861,-0.066749,10.2
-2.4959,-0.34663,10.8
-2.7664,-0.91625,11.4
-2.8048,-1.7338,12
-2.4702,-2.6484,12.6
-1.7279,-3.4469,13.2
-0.66727,-3.9248,13.8
0.52231,-3.9542,14.4
1.6107,-3.5271,15
2.3997,-2.7581,15.6
2.7855,-1.8459,16.2
2.7874,-1.0062,16.8
2.5356,-0.40115,17.4
2.2202,-0.087259,18
2.0206,-0.0022945,18.6
2.0403,0.0063327,19.2
2.2694,0.12095,19.8
2.5878,0.48255,20.4
2.8094,1.1343,21
2.7495,1.9998,21.6
2.2939,2.9035,22.2
1.4441,3.6273,22.8
0.3231,3.9825,23.4
-0.86068,3.8737,24
-1.8789,3.3301,24.6
-2.5556,2.4966,25.2
-2.8217,1.5844,25.8
-2.7322,0.80047,26.4
-2.4413,0.27998,27
-2.1434,0.044293,27.6
-2.0018,6.0831e-05,28.2
-2.0891,-0.021191,28.8
-2.3607,-0.19688,29.4
-2.6715,-0.64403,30
-2.828,-1.3713,30.6
-2.6597,-2.2692,31.2
-2.0832,-3.143,31.8
-1.1366,-3.7756,32.4
0.026554,-3.9999,33
1.1846,-3.7553,33.6
2.1172,-3.1079,34.2
2.6756,-2.2284,34.8
2.8269,-1.3343,35.4
2.6595,-0.61794,36
2.3465,-0.18388,36.6
2.0806,-0.018167,37.2
